Date;Time;Title;Recipients;Opened;Clicks
18.12.2015;14:43;Weihnachtsgruß 2015;93;60%;2%
21.12.2015;14:52;Berliner Tafel Ticker Dez 2015;2397;31%;0%
01.03.2016;14:18;Berliner Tafel Ticker Feb 2016;2572;31%;2%
08.04.2016;14:03;50.000 für Berlin;2582;40%;39%
12.05.2016;13:43;Berliner Tafel Ticker Mai 2016;2563;31%;6%
24.08.2016;14:31;Berliner Tafel Ticker Aug 2016;2744;28%;2%
18.11.2016;15:18;Berliner Tafel Ticker Okt 2016;2686;31%;3%
09.01.2017;11:53;Berliner Tafel Sondertricker;2578;41%;9%
23.05.2017;16:53;Newsletter Mai 2017;2767;34%;4%
19.10.2017;15:23;Newsletter Oktober 2017;2.765;34%;5%
20.12.2017;14:24;Rundmail Weihnachtsgrüße;3005;39%;5%
